Symbol,Shortname,Longname,Sector,Industry,City,State,Country,Identifier
MSFT,Microsoft Corporation,Microsoft Corporation,Technology,Software - Infrastructure,Redmond,WA,United States,NASDAQ_SE
AAPL,Apple Inc.,Apple Inc.,Technology,Consumer Electronics,Cupertino,CA,United States,NASDAQ_SE
NVDA,NVIDIA Corporation,NVIDIA Corporation,Technology,Semiconductors,Santa Clara,CA,United States,NASDAQ_SE
GOOGL,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,Mountain View,CA,United States,NASDAQ_SE
GOOG,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,Mountain View,CA,United States,NASDAQ_SE
AMZN,Amazon.com Inc.,Amazon.com Inc.,Consumer Cyclical,Internet Retail,Seattle,WA,United States,NASDAQ_SE
META,Meta Platforms Inc.,Meta Platforms Inc.,Communication Services,Internet Content & Information,Menlo Park,CA,United States,NASDAQ_SE
BRK-B,Berkshire Hathaway Inc. New,Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,Omaha,NE,United States,NYSE
LLY,Eli Lilly and Company,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,Indianapolis,IN,United States,NYSE
AVGO,Broadcom Inc.,Broadcom Inc.,Technology,Semiconductors,Palo Alto,CA,United States,NASDAQ_SE
TSLA,Tesla Inc.,Tesla Inc.,Consumer Cyclical,Auto Manufacturers,Austin,TX,United States,NASDAQ_SE
V,Visa Inc.,Visa Inc.,Financial Services,Credit Services,San Francisco,CA,United States,NYSE
JPM,JP Morgan Chase & Co.,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,New York,NY,United States,NYSE
XOM,Exxon Mobil Corporation,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,Spring,TX,United States,NYSE
WMT,Walmart Inc.,Walmart Inc.,Consumer Defensive,Discount Stores,Bentonville,AR,United States,NYSE
UNH,UnitedHealth Group Incorporated,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,Minnetonka,MN,United States,NYSE
MA,Mastercard Incorporated,Mastercard Incorporated,Financial Services,Credit Services,Purchase,NY,United States,NYSE
PG,Procter & Gamble Company,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,Cincinnati,OH,United States,NYSE
JNJ,Johnson & Johnson,Johnson & Johnson,Healthcare,Drug Manufacturers - General,New Brunswick,NJ,United States,NYSE
HD,Home Depot Inc.,The Home Depot Inc.,Consumer Cyclical,Home Improvement Retail,Atlanta,GA,United States,NYSE
COST,Costco Wholesale Corporation,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,Issaquah,WA,United States,NASDAQ_SE
ORCL,Oracle Corporation,Oracle Corporation,Technology,Software - Infrastructure,Austin,TX,United States,NYSE
MRK,Merck & Company Inc.,Merck & Co. Inc.,Healthcare,Drug Manufacturers - General,Rahway,NJ,United States,NYSE
CVX,Chevron Corporation,Chevron Corporation,Energy,Oil & Gas Integrated,San Ramon,CA,United States,NYSE
BAC,Bank of America Corporation,Bank of America Corporation,Financial Services,Banks - Diversified,Charlotte,NC,United States,NYSE
ABBV,AbbVie Inc.,AbbVie Inc.,Healthcare,Drug Manufacturers - General,North Chicago,IL,United States,NYSE
KO,Coca Cola Company,The Coca Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,Atlanta,GA,United States,NYSE
CRM,Salesforce Inc.,Salesforce Inc.,Technology,Software - Application,San Francisco,CA,United States,NYSE
NFLX,Netflix Inc.,Netflix Inc.,Communication Services,Entertainment,Los Gatos,CA,United States,NASDAQ_SE
AMD,Advanced Micro Devices Inc.,Advanced Micro Devices Inc.,Technology,Semiconductors,Santa Clara,CA,United States,NASDAQ_SE
PEP,Pepsico Inc.,PepsiCo Inc.,Consumer Defensive,Beverages - Non-Alcoholic,Purchase,NY,United States,NASDAQ_SE
ADBE,Adobe Inc.,Adobe Inc.,Technology,Software - Infrastructure,San Jose,CA,United States,NASDAQ_SE
TMO,rmo Fisher Scientific Inc,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,Waltham,MA,United States,NYSE
DIS,Walt Disney Company,The Walt Disney Company,Communication Services,Entertainment,Burbank,CA,United States,NYSE
WFC,Wells Fargo & Company,Wells Fargo & Company,Financial Services,Banks - Diversified,San Francisco,CA,United States,NYSE
LIN,Linde plc,Linde plc,Basic Materials,Specialty Chemicals,Woking,,United Kingdom,NASDAQ_SE
QCOM,QUALCOMM Incorporated,QUALCOMM Incorporated,Technology,Semiconductors,San Diego,CA,United States,NASDAQ_SE
MCD,McDonald's Corporation,McDonald's Corporation,Consumer Cyclical,Restaurants,Chicago,IL,United States,NYSE
TMUS,T Mobile US Inc.,T Mobile US Inc.,Communication Services,Telecom Services,Bellevue,WA,United States,NASDAQ_SE
ACN,Accenture plc,Accenture plc,Technology,Information Technology Services,Dublin,,Ireland,NYSE
CSCO,Cisco Systems Inc.,Cisco Systems Inc.,Technology,Communication Equipment,San Jose,CA,United States,NASDAQ_SE
DHR,Danaher Corporation,Danaher Corporation,Healthcare,Diagnostics & Research,Washington,DC,United States,NYSE
GE,GE Aerospace,General Electric Company,Industrials,Aerospace & Defense,Evendale,OH,United States,NYSE
ABT,Abbott Laboratories,Abbott Laboratories,Healthcare,Medical Devices,North Chicago,IL,United States,NYSE
INTU,Intuit Inc.,Intuit Inc.,Technology,Software - Application,Mountain View,CA,United States,NASDAQ_SE
AMAT,Applied Materials Inc.,Applied Materials Inc.,Technology,Semiconductor Equipment & Materials,Santa Clara,CA,United States,NASDAQ_SE
AXP,American Express Company,American Express Company,Financial Services,Credit Services,New York,NY,United States,NYSE
CAT,Caterpillar Inc.,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,Irving,TX,United States,NYSE
VZ,Verizon Communications Inc.,Verizon Communications Inc.,Communication Services,Telecom Services,New York,NY,United States,NYSE
TXN,Texas Instruments Incorporated,Texas Instruments Incorporated,Technology,Semiconductors,Dallas,TX,United States,NASDAQ_SE
AMGN,Amgen Inc.,Amgen Inc.,Healthcare,Drug Manufacturers - General,Thousand Oaks,CA,United States,NASDAQ_SE
PFE,Pfizer Inc.,Pfizer Inc.,Healthcare,Drug Manufacturers - General,New York,NY,United States,NYSE
IBM,International Business Machines,International Business Machines Corporation,Technology,Information Technology Services,Armonk,NY,United States,NYSE
MS,Morgan Stanley,Morgan Stanley,Financial Services,Capital Markets,New York,NY,United States,NYSE
CMCSA,Comcast Corporation,Comcast Corporation,Communication Services,Telecom Services,Philadelphia,PA,United States,NASDAQ_SE
PM,Philip Morris International Inc,Philip Morris International Inc.,Consumer Defensive,Tobacco,Stamford,CT,United States,NYSE
NOW,ServiceNow Inc.,ServiceNow Inc.,Technology,Software - Application,Santa Clara,CA,United States,NYSE
UBER,Uber Technologies Inc.,Uber Technologies Inc.,Technology,Software - Application,San Francisco,CA,United States,NYSE
UNP,Union Pacific Corporation,Union Pacific Corporation,Industrials,Railroads,Omaha,NE,United States,NYSE
NEE,NextEra Energy Inc.,NextEra Energy Inc.,Utilities,Utilities - Regulated Electric,Juno Beach,FL,United States,NYSE
COP,ConocoPhillips,ConocoPhillips,Energy,Oil & Gas E&P,Houston,TX,United States,NYSE
BX,Blackstone Inc.,Blackstone Inc.,Financial Services,Asset Management,New York,NY,United States,NYSE
GS,Goldman Sachs Group Inc.,The Goldman Sachs Group Inc.,Financial Services,Capital Markets,New York,NY,United States,NYSE
NKE,Nike Inc.,NIKE Inc.,Consumer Cyclical,Footwear & Accessories,Beaverton,OR,United States,NYSE
SCHW,Charles Schwab Corporation (,The Charles Schwab Corporation,Financial Services,Capital Markets,Westlake,TX,United States,NYSE
ISRG,Intuitive Surgical Inc.,Intuitive Surgical Inc.,Healthcare,Medical Instruments & Supplies,Sunnyvale,CA,United States,NASDAQ_SE
RTX,RTX Corporation,RTX Corporation,Industrials,Aerospace & Defense,Arlington,VA,United States,NYSE
INTC,Intel Corporation,Intel Corporation,Technology,Semiconductors,Santa Clara,CA,United States,NASDAQ_SE
SPGI,S&P Global Inc.,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,New York,NY,United States,NYSE
MU,Micron Technology Inc.,Micron Technology Inc.,Technology,Semiconductors,Boise,ID,United States,NASDAQ_SE
LOW,Lowe's Companies Inc.,Lowe's Companies Inc.,Consumer Cyclical,Home Improvement Retail,Mooresville,NC,United States,NYSE
ETN,Eaton Corporation PLC,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,Dublin,,Ireland,NYSE
HON,Honeywell International Inc.,Honeywell International Inc.,Industrials,Conglomerates,Charlotte,NC,United States,NASDAQ_SE
PGR,Progressive Corporation,The Progressive Corporation,Financial Services,Insurance - Property & Casualty,Mayfield,OH,United States,NYSE
SYK,Stryker Corporation,Stryker Corporation,Healthcare,Medical Devices,Portage,MI,United States,NYSE
UPS,United Parcel Service Inc.,United Parcel Service Inc.,Industrials,Integrated Freight & Logistics,Atlanta,GA,United States,NYSE
ELV,Elevance Health Inc.,Elevance Health Inc.,Healthcare,Healthcare Plans,Indianapolis,IN,United States,NYSE
BKNG,Booking Holdings Inc. Common St,Booking Holdings Inc.,Consumer Cyclical,Travel Services,Norwalk,CT,United States,NASDAQ_SE
T,AT&T Inc.,AT&T Inc.,Communication Services,Telecom Services,Dallas,TX,United States,NYSE
LRCX,Lam Research Corporation,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,Fremont,CA,United States,NASDAQ_SE
C,Citigroup Inc.,Citigroup Inc.,Financial Services,Banks - Diversified,New York,NY,United States,NYSE
BLK,BlackRock Inc.,BlackRock Inc.,Financial Services,Asset Management,New York,NY,United States,NYSE
DE,Deere & Company,Deere & Company,Industrials,Farm & Heavy Construction Machinery,Moline,IL,United States,NYSE
LMT,Lockheed Martin Corporation,Lockheed Martin Corporation,Industrials,Aerospace & Defense,Bethesda,MD,United States,NYSE
BA,Boeing Company,The Boeing Company,Industrials,Aerospace & Defense,Arlington,VA,United States,NYSE
TJX,TJX Companies Inc.,The TJX Companies Inc.,Consumer Cyclical,Apparel Retail,Framingham,MA,United States,NYSE
MDT,Medtronic plc.,Medtronic plc,Healthcare,Medical Devices,Dublin,,Ireland,NYSE
BSX,Boston Scientific Corporation,Boston Scientific Corporation,Healthcare,Medical Devices,Marlborough,MA,United States,NYSE
REGN,Regeneron Pharmaceuticals Inc.,Regeneron Pharmaceuticals Inc.,Healthcare,Biotechnology,Tarrytown,NY,United States,NASDAQ_SE
VRTX,Vertex Pharmaceuticals Incorpor,Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,Boston,MA,United States,NASDAQ_SE
CB,Chubb Limited,Chubb Limited,Financial Services,Insurance - Property & Casualty,Zurich,,Switzerland,NYSE
ABNB,Airbnb Inc.,Airbnb Inc.,Consumer Cyclical,Travel Services,San Francisco,CA,United States,NASDAQ_SE
ADI,Analog Devices Inc.,Analog Devices Inc.,Technology,Semiconductors,Wilmington,MA,United States,NASDAQ_SE
ADP,Automatic Data Processing Inc.,Automatic Data Processing Inc.,Industrials,Staffing & Employment Services,Roseland,NJ,United States,NASDAQ_SE
MMC,Marsh & McLennan Companies Inc,Marsh & McLennan Companies Inc.,Financial Services,Insurance Brokers,New York,NY,United States,NYSE
PLD,Prologis Inc.,Prologis Inc.,Real Estate,REIT - Industrial,San Francisco,CA,United States,NYSE
CI,Cigna Group,The Cigna Group,Healthcare,Healthcare Plans,Bloomfield,CT,United States,NYSE
PANW,Palo Alto Networks Inc.,Palo Alto Networks Inc.,Technology,Software - Infrastructure,Santa Clara,CA,United States,NASDAQ_SE
KLAC,KLA Corporation,KLA Corporation,Technology,Semiconductor Equipment & Materials,Milpitas,CA,United States,NASDAQ_SE
MDLZ,Mondelez International Inc.,Mondelez International Inc.,Consumer Defensive,Confectioners,Chicago,IL,United States,NASDAQ_SE
BMY,Bristol Myers Squibb Company,Bristol Myers Squibb Company,Healthcare,Drug Manufacturers - General,Princeton,NJ,United States,NYSE
FI,Fiserv Inc.,Fiserv Inc.,Technology,Information Technology Services,Milwaukee,WI,United States,NYSE
CMG,Chipotle Mexican Grill Inc.,Chipotle Mexican Grill Inc.,Consumer Cyclical,Restaurants,Newport Beach,CA,United States,NYSE
ANET,Arista Networks Inc.,Arista Networks Inc.,Technology,Computer Hardware,Santa Clara,CA,United States,NYSE
AMT,American Tower Corporation (REI,American Tower Corporation,Real Estate,REIT - Specialty,Boston,MA,United States,NYSE
WM,Waste Management Inc.,Waste Management Inc.,Industrials,Waste Management,Houston,TX,United States,NYSE
SNPS,Synopsys Inc.,Synopsys Inc.,Technology,Software - Infrastructure,Sunnyvale,CA,United States,NASDAQ_SE
